Date,Time,Team 1,Team 1 Score,Team 2 Score,Team 2,Result,Final Score,Team 1 Odds,Team 2 Odds,Bookies Count,Year,Page
11 May 2022,19:30,Rajasthan Royals,160,161,Delhi Capitals,Delhi Capitals won by 8 wickets.,160/6 (20) : 161/2 (18.1),1.86,1.94,10,2022,1
10 May 2022,19:30,Lucknow Super Giants,82,144,Gujarat Titans,Gujarat Titans won by 62 runs.,82/10 (13.5) : 144/4 (20),1.82,1.96,10,2022,1
09 May 2022,19:30,Mumbai Indians,113,165,Kolkata Knight Riders,Kolkata Knight Riders won by 52 runs.,113/10 (17.3) : 165/9 (20),1.77,2.00,10,2022,1
08 May 2022,19:30,Chennai Super Kings,208,117,Delhi Capitals,Chennai Super Kings won by 91 runs.,208/6 (20) : 117/10 (17.4),2.13,1.71,10,2022,1
07 May 2022,19:30,Lucknow Super Giants,176,101,Kolkata Knight Riders,Lucknow Super Giants won by 75 runs.,176/7 (20) : 101/9 (14.3),1.85,1.94,10,2022,1
06 May 2022,19:30,Gujarat Titans,172,177,Mumbai Indians,Mumbai Indians won by 5 runs.,172/5 (20) : 177/6 (20),1.89,1.88,10,2022,1
05 May 2022,19:30,Delhi Capitals,207,186,Sunrisers Hyderabad,Delhi Capitals won by 21 runs.,207/3 (20) : 186/8 (20),1.88,1.89,10,2022,1
04 May 2022,19:30,Royal Challengers Bengaluru,173,160,Chennai Super Kings,Bangalore won by 13 runs.,173/8 (20) : 160/8 (20),1.90,1.87,10,2022,1
03 May 2022,19:30,Gujarat Titans,143,145,Punjab Kings,Punjab Kings won by 8 wickets.,143/8 (20) : 145/2 (16),1.86,1.90,10,2022,1
02 May 2022,19:30,Kolkata Knight Riders,158,152,Rajasthan Royals,Kolkata Knight Riders won by 7 wickets.,158/3 (19.1) : 152/5 (20),1.98,1.79,10,2022,1
01 May 2022,19:30,Sunrisers Hyderabad,189,202,Chennai Super Kings,Chennai Super Kings won by 13 runs.,189/6 (20) : 202/2 (20),1.78,2.01,10,2022,1
30 Apr 2022,19:30,Rajasthan Royals,158,161,Mumbai Indians,Mumbai Indians won by 5 wickets.,158/6 (20) : 161/5 (19.2),1.93,1.84,10,2022,1
29 Apr 2022,19:30,Punjab Kings,133,153,Lucknow Super Giants,Lucknow Super Giants won by 20 runs.,133/8 (20) : 153/8 (20),1.82,1.94,9,2022,1
28 Apr 2022,19:30,Delhi Capitals,150,146,Kolkata Knight Riders,Delhi Capitals won by 4 wickets.,150/6 (19) : 146/9 (20),1.79,2.01,10,2022,1
27 Apr 2022,19:30,Gujarat Titans,199,195,Sunrisers Hyderabad,Gujarat Titans won by 5 wickets.,199/5 (20) : 195/6 (20),1.78,2.01,10,2022,1
26 Apr 2022,19:30,Royal Challengers Bengaluru,115,144,Rajasthan Royals,Rajasthan Royals won by 29 runs.,115/10 (19.3) : 144/8 (20),1.83,1.96,10,2022,1
25 Apr 2022,19:30,Punjab Kings,187,176,Chennai Super Kings,Punjab Kings won by 11 runs.,187/4 (20) : 176/6 (20),2.01,1.79,10,2022,1
24 Apr 2022,19:30,Lucknow Super Giants,168,132,Mumbai Indians,Lucknow Super Giants won by 36 runs.,168/6 (20) : 132/8 (20),2.04,1.77,10,2022,1
23 Apr 2022,19:30,Royal Challengers Bengaluru,68,72,Sunrisers Hyderabad,Sunrisers Hyderabad won by 9 wickets.,68/10 (16.1) : 72/1 (8),1.73,2.10,10,2022,1
22 Apr 2022,19:30,Delhi Capitals,207,222,Rajasthan Royals,Rajasthan Royals won by 15 runs.,207/8 (20) : 222/2 (20),1.89,1.90,10,2022,1
21 Apr 2022,19:30,Mumbai Indians,155,156,Chennai Super Kings,Chennai Super Kings won by 3 wickets.,155/7 (20) : 156/7 (20),1.89,1.89,10,2022,1
20 Apr 2022,19:30,Delhi Capitals,119,115,Punjab Kings,Delhi Capitals won by 9 wickets.,119/1 (10.3) : 115/10 (20),1.94,1.85,9,2022,1
19 Apr 2022,19:30,Lucknow Super Giants,163,181,Royal Challengers Bengaluru,Bangalore won by 18 runs.,163/8 (20) : 181/6 (20),1.93,1.86,9,2022,1
18 Apr 2022,19:30,Rajasthan Royals,217,210,Kolkata Knight Riders,Rajasthan Royals won by 7 runs.,217/5 (20) : 210/10 (19.4),2.01,1.80,9,2022,1
17 Apr 2022,19:30,Gujarat Titans,170,169,Chennai Super Kings,Gujarat Titans won by 3 wickets.,170/7 (19.5) : 169/5 (20),1.93,1.88,9,2022,1
16 Apr 2022,19:30,Delhi Capitals,173,189,Royal Challengers Bengaluru,Bangalore won by 16 runs.,173/7 (20) : 189/5 (20),1.90,1.91,9,2022,1
15 Apr 2022,19:30,Sunrisers Hyderabad,176,175,Kolkata Knight Riders,Sunrisers Hyderabad won by 7 wickets.,176/3 (17.5) : 175/8 (20),2.16,1.69,9,2022,1
29 May 2022 - Play Offs,20:00,Gujarat Titans,133,130,Rajasthan Royals,Gujarat Titans won by 7 wickets.,133/3 (18.1) : 130/9 (20),1.89,1.91,10,2022,2
27 May 2022 - Play Offs,19:30,Rajasthan Royals,161,157,Royal Challengers Bengaluru,Rajasthan Royals won by 7 wickets.,161/3 (18.1) : 157/8 (20),1.87,1.93,10,2022,2
25 May 2022 - Play Offs,19:30,Lucknow Super Giants,193,207,Royal Challengers Bengaluru,Bangalore won by 14 runs.,193/6 (20) : 207/4 (20),1.94,1.83,10,2022,2
24 May 2022 - Play Offs,19:30,Gujarat Titans,191,188,Rajasthan Royals,Gujarat Titans won by 7 wickets.,191/3 (19.3) : 188/6 (20),1.81,1.96,10,2022,2
22 May 2022,19:30,Sunrisers Hyderabad,157,160,Punjab Kings,Punjab Kings won by 5 wickets.,157/8 (20) : 160/5 (15.1),2.05,1.77,10,2022,2
21 May 2022,19:30,Mumbai Indians,160,159,Delhi Capitals,Mumbai Indians won by 5 wickets.,160/5 (19.1) : 159/7 (20),2.03,1.76,10,2022,2
20 May 2022,19:30,Rajasthan Royals,151,150,Chennai Super Kings,Rajasthan Royals won by 5 wickets.,151/5 (19.4) : 150/6 (20),1.70,2.15,10,2022,2
19 May 2022,19:30,Royal Challengers Bengaluru,170,168,Gujarat Titans,Bangalore won by 8 wickets.,170/2 (18.4) : 168/5 (20),1.80,2.00,10,2022,2
18 May 2022,19:30,Kolkata Knight Riders,208,210,Lucknow Super Giants,Lucknow Super Giants won by 2 runs.,208/8 (20) : 210/0 (20),1.96,1.83,10,2022,2
17 May 2022,19:30,Mumbai Indians,190,193,Sunrisers Hyderabad,Sunrisers Hyderabad won by 3 runs.,190/7 (20) : 193/6 (20),1.69,2.12,10,2022,2
16 May 2022,19:30,Punjab Kings,142,159,Delhi Capitals,Delhi Capitals won by 17 runs.,142/9 (20) : 159/7 (20),1.83,1.97,10,2022,2
15 May 2022,19:30,Lucknow Super Giants,154,178,Rajasthan Royals,Rajasthan Royals won by 24 runs.,154/8 (20) : 178/6 (20),1.80,1.99,10,2022,2
14 May 2022,19:30,Kolkata Knight Riders,177,123,Sunrisers Hyderabad,Kolkata Knight Riders won by 54 runs.,177/6 (20) : 123/8 (20),1.86,1.93,10,2022,2
13 May 2022,19:30,Royal Challengers Bengaluru,155,209,Punjab Kings,Punjab Kings won by 54 runs.,155/9 (20) : 209/9 (20),1.74,2.05,10,2022,2
12 May 2022,19:30,Chennai Super Kings,97,103,Mumbai Indians,Mumbai Indians won by 5 wickets.,97/10 (16) : 103/5 (14.5),1.86,1.91,10,2022,2
11 May 2022,19:30,Rajasthan Royals,160,161,Delhi Capitals,Delhi Capitals won by 8 wickets.,160/6 (20) : 161/2 (18.1),1.86,1.94,10,2022,2
10 May 2022,19:30,Lucknow Super Giants,82,144,Gujarat Titans,Gujarat Titans won by 62 runs.,82/10 (13.5) : 144/4 (20),1.82,1.96,10,2022,2
09 May 2022,19:30,Mumbai Indians,113,165,Kolkata Knight Riders,Kolkata Knight Riders won by 52 runs.,113/10 (17.3) : 165/9 (20),1.77,2.00,10,2022,2
08 May 2022,19:30,Chennai Super Kings,208,117,Delhi Capitals,Chennai Super Kings won by 91 runs.,208/6 (20) : 117/10 (17.4),2.13,1.71,10,2022,2
07 May 2022,19:30,Lucknow Super Giants,176,101,Kolkata Knight Riders,Lucknow Super Giants won by 75 runs.,176/7 (20) : 101/9 (14.3),1.85,1.94,10,2022,2
06 May 2022,19:30,Gujarat Titans,172,177,Mumbai Indians,Mumbai Indians won by 5 runs.,172/5 (20) : 177/6 (20),1.89,1.88,10,2022,2
05 May 2022,19:30,Delhi Capitals,207,186,Sunrisers Hyderabad,Delhi Capitals won by 21 runs.,207/3 (20) : 186/8 (20),1.88,1.89,10,2022,2
04 May 2022,19:30,Royal Challengers Bengaluru,173,160,Chennai Super Kings,Bangalore won by 13 runs.,173/8 (20) : 160/8 (20),1.90,1.87,10,2022,2
03 May 2022,19:30,Gujarat Titans,143,145,Punjab Kings,Punjab Kings won by 8 wickets.,143/8 (20) : 145/2 (16),1.86,1.90,10,2022,2
02 May 2022,19:30,Kolkata Knight Riders,158,152,Rajasthan Royals,Kolkata Knight Riders won by 7 wickets.,158/3 (19.1) : 152/5 (20),1.98,1.79,10,2022,2
01 May 2022,19:30,Sunrisers Hyderabad,189,202,Chennai Super Kings,Chennai Super Kings won by 13 runs.,189/6 (20) : 202/2 (20),1.78,2.01,10,2022,2
30 Apr 2022,19:30,Rajasthan Royals,158,161,Mumbai Indians,Mumbai Indians won by 5 wickets.,158/6 (20) : 161/5 (19.2),1.93,1.84,10,2022,2
29 Apr 2022,19:30,Punjab Kings,133,153,Lucknow Super Giants,Lucknow Super Giants won by 20 runs.,133/8 (20) : 153/8 (20),1.82,1.94,9,2022,2
28 Apr 2022,19:30,Delhi Capitals,150,146,Kolkata Knight Riders,Delhi Capitals won by 4 wickets.,150/6 (19) : 146/9 (20),1.79,2.01,10,2022,2
27 Apr 2022,19:30,Gujarat Titans,199,195,Sunrisers Hyderabad,Gujarat Titans won by 5 wickets.,199/5 (20) : 195/6 (20),1.78,2.01,10,2022,2
26 Apr 2022,19:30,Royal Challengers Bengaluru,115,144,Rajasthan Royals,Rajasthan Royals won by 29 runs.,115/10 (19.3) : 144/8 (20),1.83,1.96,10,2022,2
25 Apr 2022,19:30,Punjab Kings,187,176,Chennai Super Kings,Punjab Kings won by 11 runs.,187/4 (20) : 176/6 (20),2.01,1.79,10,2022,2
24 Apr 2022,19:30,Lucknow Super Giants,168,132,Mumbai Indians,Lucknow Super Giants won by 36 runs.,168/6 (20) : 132/8 (20),2.04,1.77,10,2022,2
23 Apr 2022,19:30,Royal Challengers Bengaluru,68,72,Sunrisers Hyderabad,Sunrisers Hyderabad won by 9 wickets.,68/10 (16.1) : 72/1 (8),1.73,2.10,10,2022,2
22 Apr 2022,19:30,Delhi Capitals,207,222,Rajasthan Royals,Rajasthan Royals won by 15 runs.,207/8 (20) : 222/2 (20),1.89,1.90,10,2022,2
21 Apr 2022,19:30,Mumbai Indians,155,156,Chennai Super Kings,Chennai Super Kings won by 3 wickets.,155/7 (20) : 156/7 (20),1.89,1.89,10,2022,2
20 Apr 2022,19:30,Delhi Capitals,119,115,Punjab Kings,Delhi Capitals won by 9 wickets.,119/1 (10.3) : 115/10 (20),1.94,1.85,9,2022,2
19 Apr 2022,19:30,Lucknow Super Giants,163,181,Royal Challengers Bengaluru,Bangalore won by 18 runs.,163/8 (20) : 181/6 (20),1.93,1.86,9,2022,2
18 Apr 2022,19:30,Rajasthan Royals,217,210,Kolkata Knight Riders,Rajasthan Royals won by 7 runs.,217/5 (20) : 210/10 (19.4),2.01,1.80,9,2022,2
17 Apr 2022,19:30,Gujarat Titans,170,169,Chennai Super Kings,Gujarat Titans won by 3 wickets.,170/7 (19.5) : 169/5 (20),1.93,1.88,9,2022,2
16 Apr 2022,19:30,Delhi Capitals,173,189,Royal Challengers Bengaluru,Bangalore won by 16 runs.,173/7 (20) : 189/5 (20),1.90,1.91,9,2022,2
15 Apr 2022,19:30,Sunrisers Hyderabad,176,175,Kolkata Knight Riders,Sunrisers Hyderabad won by 7 wickets.,176/3 (17.5) : 175/8 (20),2.16,1.69,9,2022,2
29 May 2023 - Play Offs,19:30,Gujarat Titans,214,171,Chennai Super Kings,Chennai Super Kings won by 5 wickets (DLS method).,214/4 (20) : 171/5 (15),1.94,1.87,13,2023,1
26 May 2023 - Play Offs,19:30,Gujarat Titans,233,171,Mumbai Indians,Gujarat Titans won by 62 runs.,233/3 (20) : 171/10 (18.2),1.87,1.92,13,2023,1
24 May 2023 - Play Offs,19:30,Lucknow Super Giants,101,182,Mumbai Indians,Neutral location - M. A. Chidambaram Stadium.,101/10 (16.3) : 182/8 (20),2.19,1.67,13,2023,1
23 May 2023 - Play Offs,19:30,Chennai Super Kings,172,157,Gujarat Titans,Chennai Super Kings won by 15 runs.,172/7 (20) : 157/10 (20),1.89,1.90,13,2023,1
21 May 2023,19:30,Royal Challengers Bengaluru,197,198,Gujarat Titans,Gujarat Titans won by 6 wickets.,197/5 (20) : 198/4 (19.1),1.80,2.00,11,2023,1
20 May 2023,19:30,Kolkata Knight Riders,175,176,Lucknow Super Giants,Lucknow Super Giants won by 1 run.,175/7 (20) : 176/8 (20),1.99,1.81,11,2023,1
19 May 2023,19:30,Punjab Kings,187,189,Rajasthan Royals,Rajasthan Royals won by 4 wickets.,187/5 (20) : 189/6 (19.4),2.09,1.74,11,2023,1
18 May 2023,19:30,Sunrisers Hyderabad,186,187,Royal Challengers Bengaluru,Bangalore won by 8 wickets.,186/5 (20) : 187/2 (19.2),2.26,1.63,11,2023,1
17 May 2023,19:30,Punjab Kings,198,213,Delhi Capitals,Delhi Capitals won by 15 runs.,198/8 (20) : 213/2 (20),1.73,2.12,11,2023,1
16 May 2023,19:30,Lucknow Super Giants,177,172,Mumbai Indians,Lucknow Super Giants won by 5 runs.,177/3 (20) : 172/5 (20),2.12,1.73,11,2023,1
15 May 2023,19:30,Gujarat Titans,188,154,Sunrisers Hyderabad,Gujarat Titans won by 34 runs.,188/9 (20) : 154/9 (20),1.63,2.29,11,2023,1
13 May 2023,19:30,Delhi Capitals,136,167,Punjab Kings,Punjab Kings won by 31 run.,136/8 (20) : 167/7 (20),1.86,1.95,11,2023,1
12 May 2023,19:30,Mumbai Indians,218,191,Gujarat Titans,Mumbai Indians won by 27 runs.,218/5 (20) : 191/8 (20),1.99,1.83,11,2023,1
11 May 2023,19:30,Kolkata Knight Riders,149,151,Rajasthan Royals,Rajasthan Royals won by 9 wickets.,149/8 (20) : 151/1 (13.1),2.05,1.78,11,2023,1
10 May 2023,19:30,Chennai Super Kings,167,140,Delhi Capitals,Chennai Super Kings won by 27 runs.,167/8 (20) : 140/8 (20),1.66,2.22,11,2023,1
09 May 2023,19:30,Mumbai Indians,200,199,Royal Challengers Bengaluru,Mumbai Indians won by 6 wickets.,200/4 (16.3) : 199/6 (20),1.78,2.05,11,2023,1
08 May 2023,19:30,Kolkata Knight Riders,182,179,Punjab Kings,Kolkata Knight Riders won by 5 wickets.,182/5 (20) : 179/7 (20),1.81,2.01,11,2023,1
07 May 2023,19:30,Rajasthan Royals,214,217,Sunrisers Hyderabad,Sunrisers Hyderabad won by 4 wickets.,214/2 (20) : 217/6 (20),1.69,2.19,11,2023,1
06 May 2023,19:30,Delhi Capitals,187,181,Royal Challengers Bengaluru,Delhi Capitals won by 7 wickets.,187/3 (16.4) : 181/4 (20),2.09,1.75,11,2023,1
05 May 2023,19:30,Rajasthan Royals,118,119,Gujarat Titans,Gujarat Titans won by 9 wickets.,118/10 (17.5) : 119/1 (13.5),1.96,1.86,11,2023,1
04 May 2023,19:30,Sunrisers Hyderabad,166,171,Kolkata Knight Riders,Kolkata Knight Riders won by 5 runs.,166/8 (20) : 171/9 (20),1.85,1.96,11,2023,1
03 May 2023,19:30,Punjab Kings,214,216,Mumbai Indians,Mumbai Indians won by 6 wickets.,214/3 (20) : 216/4 (18.5),2.03,1.79,11,2023,1
02 May 2023,19:30,Gujarat Titans,125,130,Delhi Capitals,Delhi Capitals won by 5 runs.,125/6 (20) : 130/8 (20),1.63,2.30,10,2023,1
01 May 2023,19:30,Lucknow Super Giants,108,126,Royal Challengers Bengaluru,Bangalore won by 18 runs.,108/10 (19.5) : 126/9 (20),1.85,1.97,10,2023,1
29 Apr 2023,19:30,Delhi Capitals,188,197,Sunrisers Hyderabad,Sunrisers Hyderabad won by 9 runs.,188/6 (20) : 197/6 (20),1.81,2.01,10,2023,1
28 Apr 2023,19:30,Punjab Kings,201,257,Lucknow Super Giants,Lucknow Super Giants won by 56 runs.,201/10 (19.5) : 257/5 (20),1.93,1.89,10,2023,1
27 Apr 2023,19:30,Rajasthan Royals,202,170,Chennai Super Kings,Rajasthan Royals won by 32 runs.,202/5 (20) : 170/6 (20),1.85,1.96,10,2023,1
25 Apr 2023,19:30,Gujarat Titans,207,152,Mumbai Indians,Gujarat Titans won by 55 runs.,207/6 (20) : 152/9 (20),1.92,1.87,10,2023,1
24 Apr 2023,19:30,Sunrisers Hyderabad,137,144,Delhi Capitals,Delhi Capitals won by 7 runs.,137/6 (20) : 144/9 (20),1.74,2.10,10,2023,1
23 Apr 2023,19:30,Kolkata Knight Riders,186,235,Chennai Super Kings,Chennai Super Kings won by 49 runs.,186/8 (20) : 235/4 (20),2.00,1.83,10,2023,1
22 Apr 2023,19:30,Mumbai Indians,201,214,Punjab Kings,Punjab Kings won by 13 runs.,201/6 (20) : 214/8 (20),1.64,2.28,10,2023,1
21 Apr 2023,19:30,Chennai Super Kings,138,134,Sunrisers Hyderabad,Chennai Super Kings won by 7 wickets.,138/3 (18.4) : 134/7 (20),1.71,2.15,10,2023,1
20 Apr 2023,19:30,Delhi Capitals,128,127,Kolkata Knight Riders,Delhi Capitals won by 4 wickets.,128/6 (19.2) : 127/10 (20),2.12,1.74,10,2023,1
19 Apr 2023,19:30,Rajasthan Royals,144,154,Lucknow Super Giants,Lucknow Super Giants won by 10 runs.,144/6 (20) : 154/7 (20),1.73,2.13,10,2023,1
18 Apr 2023,19:30,Sunrisers Hyderabad,178,192,Mumbai Indians,Mumbai Indians won by 14 runs.,178/10 (19.5) : 192/5 (20),1.98,1.85,10,2023,1
29 May 2023 - Play Offs,19:30,Gujarat Titans,214,171,Chennai Super Kings,Chennai Super Kings won by 5 wickets (DLS method).,214/4 (20) : 171/5 (15),1.94,1.87,13,2023,2
26 May 2023 - Play Offs,19:30,Gujarat Titans,233,171,Mumbai Indians,Gujarat Titans won by 62 runs.,233/3 (20) : 171/10 (18.2),1.87,1.92,13,2023,2
24 May 2023 - Play Offs,19:30,Lucknow Super Giants,101,182,Mumbai Indians,Neutral location - M. A. Chidambaram Stadium.,101/10 (16.3) : 182/8 (20),2.19,1.67,13,2023,2
23 May 2023 - Play Offs,19:30,Chennai Super Kings,172,157,Gujarat Titans,Chennai Super Kings won by 15 runs.,172/7 (20) : 157/10 (20),1.89,1.90,13,2023,2
21 May 2023,19:30,Royal Challengers Bengaluru,197,198,Gujarat Titans,Gujarat Titans won by 6 wickets.,197/5 (20) : 198/4 (19.1),1.80,2.00,11,2023,2
20 May 2023,19:30,Kolkata Knight Riders,175,176,Lucknow Super Giants,Lucknow Super Giants won by 1 run.,175/7 (20) : 176/8 (20),1.99,1.81,11,2023,2
19 May 2023,19:30,Punjab Kings,187,189,Rajasthan Royals,Rajasthan Royals won by 4 wickets.,187/5 (20) : 189/6 (19.4),2.09,1.74,11,2023,2
18 May 2023,19:30,Sunrisers Hyderabad,186,187,Royal Challengers Bengaluru,Bangalore won by 8 wickets.,186/5 (20) : 187/2 (19.2),2.26,1.63,11,2023,2
17 May 2023,19:30,Punjab Kings,198,213,Delhi Capitals,Delhi Capitals won by 15 runs.,198/8 (20) : 213/2 (20),1.73,2.12,11,2023,2
16 May 2023,19:30,Lucknow Super Giants,177,172,Mumbai Indians,Lucknow Super Giants won by 5 runs.,177/3 (20) : 172/5 (20),2.12,1.73,11,2023,2
15 May 2023,19:30,Gujarat Titans,188,154,Sunrisers Hyderabad,Gujarat Titans won by 34 runs.,188/9 (20) : 154/9 (20),1.63,2.29,11,2023,2
13 May 2023,19:30,Delhi Capitals,136,167,Punjab Kings,Punjab Kings won by 31 run.,136/8 (20) : 167/7 (20),1.86,1.95,11,2023,2
12 May 2023,19:30,Mumbai Indians,218,191,Gujarat Titans,Mumbai Indians won by 27 runs.,218/5 (20) : 191/8 (20),1.99,1.83,11,2023,2
11 May 2023,19:30,Kolkata Knight Riders,149,151,Rajasthan Royals,Rajasthan Royals won by 9 wickets.,149/8 (20) : 151/1 (13.1),2.05,1.78,11,2023,2
10 May 2023,19:30,Chennai Super Kings,167,140,Delhi Capitals,Chennai Super Kings won by 27 runs.,167/8 (20) : 140/8 (20),1.66,2.22,11,2023,2
09 May 2023,19:30,Mumbai Indians,200,199,Royal Challengers Bengaluru,Mumbai Indians won by 6 wickets.,200/4 (16.3) : 199/6 (20),1.78,2.05,11,2023,2
08 May 2023,19:30,Kolkata Knight Riders,182,179,Punjab Kings,Kolkata Knight Riders won by 5 wickets.,182/5 (20) : 179/7 (20),1.81,2.01,11,2023,2
07 May 2023,19:30,Rajasthan Royals,214,217,Sunrisers Hyderabad,Sunrisers Hyderabad won by 4 wickets.,214/2 (20) : 217/6 (20),1.69,2.19,11,2023,2
06 May 2023,19:30,Delhi Capitals,187,181,Royal Challengers Bengaluru,Delhi Capitals won by 7 wickets.,187/3 (16.4) : 181/4 (20),2.09,1.75,11,2023,2
05 May 2023,19:30,Rajasthan Royals,118,119,Gujarat Titans,Gujarat Titans won by 9 wickets.,118/10 (17.5) : 119/1 (13.5),1.96,1.86,11,2023,2
04 May 2023,19:30,Sunrisers Hyderabad,166,171,Kolkata Knight Riders,Kolkata Knight Riders won by 5 runs.,166/8 (20) : 171/9 (20),1.85,1.96,11,2023,2
03 May 2023,19:30,Punjab Kings,214,216,Mumbai Indians,Mumbai Indians won by 6 wickets.,214/3 (20) : 216/4 (18.5),2.03,1.79,11,2023,2
02 May 2023,19:30,Gujarat Titans,125,130,Delhi Capitals,Delhi Capitals won by 5 runs.,125/6 (20) : 130/8 (20),1.63,2.30,10,2023,2
01 May 2023,19:30,Lucknow Super Giants,108,126,Royal Challengers Bengaluru,Bangalore won by 18 runs.,108/10 (19.5) : 126/9 (20),1.85,1.97,10,2023,2
29 Apr 2023,19:30,Delhi Capitals,188,197,Sunrisers Hyderabad,Sunrisers Hyderabad won by 9 runs.,188/6 (20) : 197/6 (20),1.81,2.01,10,2023,2
28 Apr 2023,19:30,Punjab Kings,201,257,Lucknow Super Giants,Lucknow Super Giants won by 56 runs.,201/10 (19.5) : 257/5 (20),1.93,1.89,10,2023,2
27 Apr 2023,19:30,Rajasthan Royals,202,170,Chennai Super Kings,Rajasthan Royals won by 32 runs.,202/5 (20) : 170/6 (20),1.85,1.96,10,2023,2
25 Apr 2023,19:30,Gujarat Titans,207,152,Mumbai Indians,Gujarat Titans won by 55 runs.,207/6 (20) : 152/9 (20),1.92,1.87,10,2023,2
24 Apr 2023,19:30,Sunrisers Hyderabad,137,144,Delhi Capitals,Delhi Capitals won by 7 runs.,137/6 (20) : 144/9 (20),1.74,2.10,10,2023,2
23 Apr 2023,19:30,Kolkata Knight Riders,186,235,Chennai Super Kings,Chennai Super Kings won by 49 runs.,186/8 (20) : 235/4 (20),2.00,1.83,10,2023,2
22 Apr 2023,19:30,Mumbai Indians,201,214,Punjab Kings,Punjab Kings won by 13 runs.,201/6 (20) : 214/8 (20),1.64,2.28,10,2023,2
21 Apr 2023,19:30,Chennai Super Kings,138,134,Sunrisers Hyderabad,Chennai Super Kings won by 7 wickets.,138/3 (18.4) : 134/7 (20),1.71,2.15,10,2023,2
20 Apr 2023,19:30,Delhi Capitals,128,127,Kolkata Knight Riders,Delhi Capitals won by 4 wickets.,128/6 (19.2) : 127/10 (20),2.12,1.74,10,2023,2
19 Apr 2023,19:30,Rajasthan Royals,144,154,Lucknow Super Giants,Lucknow Super Giants won by 10 runs.,144/6 (20) : 154/7 (20),1.73,2.13,10,2023,2
18 Apr 2023,19:30,Sunrisers Hyderabad,178,192,Mumbai Indians,Mumbai Indians won by 14 runs.,178/10 (19.5) : 192/5 (20),1.98,1.85,10,2023,2
26 May 2024 - Play Offs,19:30,Kolkata Knight Riders,114,113,Sunrisers Hyderabad,Kolkata Knight Riders won by 8 wickets.,114/2 (10.3) : 113/10 (18.3),1.87,1.90,12,2024,1
24 May 2024 - Play Offs,19:30,Sunrisers Hyderabad,175,139,Rajasthan Royals,Sunrisers Hyderabad won by 36 runs.,175/9 (20) : 139/7 (20),1.79,1.99,12,2024,1
22 May 2024 - Play Offs,19:30,Rajasthan Royals,174,172,Royal Challengers Bengaluru,Rajasthan Royals won by 4 wickets.,174/6 (19) : 172/8 (20),1.98,1.81,12,2024,1
21 May 2024 - Play Offs,19:30,Kolkata Knight Riders,164,159,Sunrisers Hyderabad,Kolkata Knight Riders won by 8 wickets.,164/2 (13.4) : 159/10 (19.3),1.94,1.84,12,2024,1
18 May 2024,19:30,Royal Challengers Bengaluru,218,191,Chennai Super Kings,Royal Challengers Bengaluru won by 27 runs.,218/5 (20) : 191/7 (20),1.84,1.94,12,2024,1
17 May 2024,19:30,Mumbai Indians,196,214,Lucknow Super Giants,Lucknow Super Giants won by 18 runs.,196/6 (20) : 214/6 (20),1.74,2.07,12,2024,1
15 May 2024,19:30,Rajasthan Royals,144,145,Punjab Kings,Punjab Kings won by 5 wickets.,144/9 (20) : 145/5 (18.5),1.64,2.23,11,2024,1
12 May 2024,19:30,Royal Challengers Bengaluru,187,140,Delhi Capitals,Royal Challengers Bengaluru won by 47 runs.,187/9 (20) : 140/10 (19.1),1.71,2.12,11,2024,1
11 May 2024,19:30,Kolkata Knight Riders,157,139,Mumbai Indians,Kolkata Knight Riders won by 18 runs.,157/7 (16) : 139/8 (16),1.83,1.94,11,2024,1
10 May 2024,19:30,Gujarat Titans,231,196,Chennai Super Kings,Gujarat Titans won by 35 runs.,231/3 (20) : 196/8 (20),2.21,1.65,11,2024,1
09 May 2024,19:30,Punjab Kings,181,241,Royal Challengers Bengaluru,Royal Challengers Bengaluru won by 60 runs.,181/10 (17) : 241/7 (20),2.02,1.77,11,2024,1
08 May 2024,19:30,Sunrisers Hyderabad,167,165,Lucknow Super Giants,Sunrisers Hyderabad won by 10 wickets.,167/0 (9.4) : 165/4 (20),1.73,2.08,11,2024,1
07 May 2024,19:30,Delhi Capitals,221,201,Rajasthan Royals,Delhi Capitals won by 20 runs.,221/8 (20) : 201/8 (20),2.10,1.71,11,2024,1
06 May 2024,19:30,Mumbai Indians,174,173,Sunrisers Hyderabad,Mumbai Indians won by 7 wickets.,174/3 (17.2) : 173/8 (20),1.74,1.98,11,2024,1
05 May 2024,19:30,Lucknow Super Giants,137,235,Kolkata Knight Riders,Kolkata Knight Riders won by 98 runs.,137/10 (16.1) : 235/6 (20),1.98,1.81,11,2024,1
04 May 2024,19:30,Royal Challengers Bengaluru,152,147,Gujarat Titans,Royal Challengers Bengaluru won by 4 wickets.,152/6 (13.4) : 147/10 (19.3),1.67,2.18,11,2024,1
03 May 2024,19:30,Mumbai Indians,145,169,Kolkata Knight Riders,Kolkata Knight Riders won by 24 runs.,145/10 (18.5) : 169/10 (19.5),1.68,2.16,11,2024,1
02 May 2024,19:30,Sunrisers Hyderabad,201,200,Rajasthan Royals,Sunrisers Hyderabad won by 1 run.,201/3 (20) : 200/7 (20),1.80,1.99,11,2024,1
01 May 2024,19:30,Chennai Super Kings,162,163,Punjab Kings,Punjab Kings won by 7 wickets.,162/7 (20) : 163/3 (17.5),1.67,2.18,11,2024,1
