Date,Time,Team 1,Team 1 Score,Team 2 Score,Team 2,Result,Final Score,Team 1 Odds,Team 2 Odds,Bookies Count,Year,Page
27 Oct 2020,19:30,Sunrisers Hyderabad,219,131,Delhi Capitals,Sunrisers Hyderabad won by 88 runs.,219/2 (20) : 131/10 (19),2.19,1.65,6,2020,2
26 Oct 2020,19:30,Kolkata Knight Riders,149,150,Punjab Kings,Punjab Kings won by 8 wickets.,149/9 (20) : 150/2 (18.5),1.96,1.83,6,2020,2
25 Oct 2020,19:30,Rajasthan Royals,196,195,Mumbai Indians,Rajasthan Royals won by 8 wickets.,196/2 (18.2) : 195/5 (20),2.23,1.64,6,2020,2
24 Oct 2020,19:30,Punjab Kings,126,114,Sunrisers Hyderabad,Punjab Kings won by 12 runs.,126/7 (20) : 114/10 (19.5),1.92,1.87,6,2020,2
23 Oct 2020,19:30,Chennai Super Kings,114,116,Mumbai Indians,Mumbai Indians won by 10 wickets.,114/9 (20) : 116/0 (12.2),2.42,1.55,6,2020,2
22 Oct 2020,19:30,Rajasthan Royals,154,156,Sunrisers Hyderabad,Sunrisers Hyderabad won by 8 wickets.,154/6 (20) : 156/2 (18.1),1.91,1.85,6,2020,2
21 Oct 2020,19:30,Kolkata Knight Riders,84,85,Royal Challengers Bengaluru,Bangalore won by 8 wickets.,84/7 (20) : 85/2 (13.3),2.22,1.64,6,2020,2
20 Oct 2020,19:30,Punjab Kings,167,164,Delhi Capitals,Punjab Kings won by 5 wickets.,167/5 (19) : 164/5 (20),2.04,1.75,6,2020,2
19 Oct 2020,19:30,Chennai Super Kings,125,126,Rajasthan Royals,Rajasthan Royals won by 7 wickets.,125/5 (20) : 126/3 (17.3),1.91,1.85,6,2020,2
18 Oct 2020,19:30,Mumbai Indians,176,176,Punjab Kings,Match Tied - Punjab Kings won the Super Over.,176/6 (20) : 176/6 (20),1.59,2.31,6,2020,2
17 Oct 2020,19:30,Delhi Capitals,185,179,Chennai Super Kings,Delhi Capitals won by 5 wickets.,185/5 (19.5) : 179/4 (20),1.81,1.98,6,2020,2
